iter	Passed	Remaining
0	1	118
1	2	106
2	3	101
3	4	102
4	5	100
5	6	97
6	7	96
7	8	95
8	9	94
9	10	93
10	11	93
11	12	92
12	13	90
13	14	89
14	15	88
15	16	87
16	17	85
17	18	84
18	19	82
19	20	80
20	20	78
21	21	77
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	50
47	46	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	44
54	52	42
55	53	41
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
