iter	Passed	Remaining
0	147	147761
1	148	74257
2	149	49687
3	150	37406
4	151	30141
5	152	25233
6	153	21737
7	153	19087
8	154	17028
9	155	15381
10	156	14029
11	156	12906
12	157	11972
13	158	11158
14	159	10451
15	159	9829
16	160	9279
17	161	8790
18	161	8352
19	162	7961
20	163	7622
21	164	7304
22	165	7011
23	165	6740
24	166	6490
25	167	6260
26	167	6047
27	168	5850
28	169	5676
29	170	5506
30	171	5346
31	171	5200
32	172	5060
33	173	4927
34	174	4800
35	174	4681
36	176	4590
37	177	4488
38	177	4386
39	178	4290
40	179	4198
41	180	4111
42	181	4033
43	182	3957
44	182	3881
45	183	3808
46	184	3736
47	184	3668
48	185	3602
49	186	3544
50	187	3485
51	188	3428
52	188	3372
53	189	3320
54	190	3269
55	191	3221
56	191	3173
57	192	3128
58	193	3087
59	194	3045
60	195	3005
61	196	2965
62	196	2926
63	197	2892
64	198	2860
65	200	2834
66	201	2801
67	201	2766
68	202	2732
69	203	2699
70	203	2667
71	204	2635
72	205	2609
73	206	2580
74	207	2555
75	208	2529
76	208	2502
77	209	2477
78	210	2452
79	211	2428
80	212	2407
81	213	2385
82	213	2358
83	214	2336
84	215	2314
85	215	2291
86	216	2271
87	217	2250
88	218	2231
89	219	2214
90	219	2194
91	220	2175
92	221	2156
93	221	2137
94	222	2118
95	223	2100
96	223	2084
97	224	2067
98	225	2050
99	226	2034
100	226	2018
101	227	2002
102	228	1988
103	229	1973
104	229	1959
105	230	1946
106	231	1933
107	232	1920
108	233	1907
109	234	1893
110	234	1881
111	235	1868
112	236	1859
113	237	1847
114	238	1834
115	239	1821
116	239	1807
117	240	1795
118	241	1785
119	242	1774
120	243	1765
121	243	1754
122	244	1743
123	245	1732
124	245	1721
125	246	1711
126	247	1700
127	248	1690
128	249	1681
129	249	1672
130	250	1663
131	251	1654
132	252	1644
133	252	1634
134	253	1625
135	254	1616
136	255	1610
137	256	1603
138	257	1594
139	258	1586
140	259	1578
141	259	1568
142	260	1560
143	261	1553
144	262	1546
145	263	1540
146	264	1532
